General : Specimen number,1
General : Start time,"4/6/2021 1:14 PM"
General : End time,"4/6/2021 1:15 PM"
Test : Test rate,"5.00000",mm/min
Specimen properties : Thickness,"3.00000",mm
Specimen properties : Width,"13.30000",mm
Specimen properties : Length,"50.00000",mm

Time,Extension,Load
(s),(mm),(N)
"26.40000","2.34376","639.14758"
"26.50000","2.35206","640.48529"
"26.60000","2.36049","641.87915"
"26.70000","2.36886","643.32092"
"26.80000","2.37724","644.64209"
"26.90000","2.38547","645.79443"
"27.00000","2.39388","647.05389"
"27.10000","2.40223","648.32727"
"27.20000","2.41060","649.48547"
"27.30000","2.41874","650.46204"
"27.40000","2.42707","651.58063"
"27.50000","2.43530","652.62860"
"27.60000","2.44373","653.62354"
"27.70000","2.45206","654.51794"
"27.80000","2.46020","655.38879"
"27.90000","2.46865","656.36053"
"28.00000","2.47694","657.13354"
"28.10000","2.48527","657.82697"
"28.20000","2.49358","658.57098"
"28.30000","2.50187","659.30450"
"28.40000","2.51018","659.94000"
"28.50000","2.51858","660.46924"
"28.60000","2.52713","661.05322"
"28.70000","2.53541","661.55109"
"28.80000","2.54370","661.98187"
"28.90000","2.55202","662.26160"
"29.00000","2.56042","662.59857"
"29.10000","2.56885","662.98407"
"29.20000","2.57718","663.27844"
"29.30000","2.58553","663.34052"
"29.40000","2.59390","663.43079"
"29.50000","2.60230","663.60364"
"29.60000","2.61077","663.76782"
"29.70000","2.61910","663.74414"
"29.80000","2.62719","663.48615"
"29.90000","2.63573","663.50580"
"30.00000","2.64402","663.48962"
"30.10000","2.65221","663.28851"
"30.20000","2.66047","662.98639"
"30.30000","2.66892","662.74097"
"30.40000","2.67712","662.46307"
"30.50000","2.68533","662.17676"
"30.60000","2.69365","661.77240"
"30.70000","2.70216","661.37213"
"30.80000","2.71025","660.87561"
"30.90000","2.71861","660.45404"
"31.00000","2.72688","659.88287"
"31.10000","2.73528","659.15253"
"31.20000","2.74363","658.22540"
"31.30000","2.75192","657.16418"
